crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
Tampering Computer Source Documents,80,233,0,313,0,0,0,0,5,2,91,0,98,24,30,54,152,0,0,161,35.5,51.4,2017
Computer Related Offences,6742,10108,0,16850,0,47,3,5,132,419,4377,84,5017,848,1243,2091,7155,4,8,9688,29.2,57.5,2017
Computer Related Offences,2463,3508,0,5971,0,7,0,3,52,93,1471,29,1648,413,667,1080,2735,2,5,3234,39.5,54.2,2017
Ransom-ware,249,300,0,549,0,0,0,3,5,17,110,0,135,92,65,157,292,2,0,255,53.8,46.4,2017
Offences other than Ransom-ware,2214,3208,0,5422,0,7,0,0,47,76,1361,29,1513,321,602,923,2443,0,5,2979,37.8,54.9,2017
Dishonestly receiving stolen computer resource or communication device,162,360,0,522,0,0,0,2,6,20,125,0,153,31,64,95,248,2,0,272,38.3,52.1,2017
Identity Theft,1534,3724,0,5258,0,23,2,0,27,119,1217,9,1372,207,220,427,1822,0,1,3434,23.4,65.3,2017
Cheating by personation by using computer resource,2373,2269,0,4642,0,16,1,0,38,178,1502,46,1764,167,217,384,2164,0,1,2477,17.7,53.4,2017
Violation of Privacy,210,247,0,457,0,1,0,0,9,9,62,0,80,30,75,105,186,0,1,271,56.5,59.3,2017
Cyber Terrorism,14,13,0,27,0,0,0,0,0,0,7,0,7,1,0,1,8,0,0,19,12.5,70.4,2017
Publication/transmission of obscene/sexually explicit act in electronic form,1131,1768,1,2900,0,10,1,1,45,137,352,0,535,190,452,642,1187,3,2,1709,54.1,58.9,2017
Publishing or transmitting obscene material in Electronic Form,451,948,1,1400,0,5,0,0,19,55,194,0,268,120,252,372,645,2,1,753,57.7,53.8,2017
Publishing or transmitting of material containing Sexually explicit act in electronic form,482,401,0,883,0,4,1,0,14,69,94,0,177,47,97,144,325,0,0,557,44.3,63.1,2017
Publishing or transmitting of material depicting children in Sexually explicit act in electronic form,47,46,0,93,0,0,0,0,1,0,13,0,14,0,12,12,26,0,1,67,46.2,72.0,2017
Preservation and retention of information by intermediaries,27,11,0,38,0,0,0,0,0,1,8,0,9,1,1,2,11,0,0,27,18.2,71.1,2017
Other Sections 67 IT Act,124,362,0,486,0,1,0,1,11,12,43,0,67,22,90,112,180,1,0,305,62.2,62.8,2017
Interception or Monitoring or decryption of Information,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,100.0,75.0,2017
Un-Authorized Access/Attempt to Access to Protected Computer System,5,2,0,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,100.0,85.7,2017
Abetment to Commit Offences,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,100.0,2017
