crime_head,pending_prev_year,reported_during_year,reopened_for_investigation,total_for_investigation,not_investigated_157_1_b,transferred_other_state_or_agency,withdrawn_by_govt,fr_non_cognizable,fr_false,fr_other_13,fr_other_14,fr_other_15,fr_total,chargesheet_prev_year,chargesheet_during_year,chargesheet_total,disposed_by_police,quashed_investigation,stayed_investigation,pending_end_year,chargesheeting_rate_pct,pendency_pct,year
The Dowry Prohibition Act,5569,10189,0,15758,0,57,0,1,278,544,562,27,1412,2624,5030,7654,9123,5,10,6630,83.9,42.1,2017
The Immoral Traffic (Prevention) Act,1971,2127,4,4102,0,1,0,0,13,19,36,1,69,653,1288,1941,2011,1,2,2090,96.5,51.0,2017
The Protection of Women from Domestic Violence Act,129,616,0,745,0,0,0,0,16,2,7,0,25,85,458,543,568,0,0,177,95.6,23.8,2017
The Indecent Representation of Women (Prohibition) Act,17,25,0,42,0,0,0,0,0,0,1,0,1,7,10,17,18,0,4,24,94.4,57.1,2017
Crime Against Women - Related Acts (Total),7686,12957,4,20647,0,58,0,1,307,565,606,28,1507,3369,6786,10155,11720,6,16,8921,86.6,43.2,2017
The Protection of Children from Sexual Offences Act,12312,32608,4,44924,1,53,3,8,677,272,697,46,1700,5958,22105,28063,29817,26,40,15078,94.1,33.6,2017
The Juvenile Justice (Care and Protection of Children) Act,894,2452,0,3346,0,1,0,0,35,55,231,2,323,334,1626,1960,2284,3,3,1059,85.8,31.6,2017
The Prohibition of Child Marriage Act,201,395,0,596,0,6,0,0,16,13,17,0,46,111,180,291,343,1,8,252,84.8,42.3,2017
The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,26,84,0,110,0,0,0,0,2,0,0,0,2,22,59,81,83,0,0,27,97.6,24.5,2017
The Child Labour (Prohibition & Regulation) Act,265,462,1,728,0,2,0,0,14,10,4,0,28,93,270,363,393,0,0,335,92.4,46.0,2017
The Medical Termination of Pregnancy Act,14,71,0,85,0,0,0,0,5,0,0,0,5,12,45,57,62,0,0,23,91.9,27.1,2017
